Model,Encoded Chromosome
201,"[0, 30, 0, 0, 3, 0, 0, 0, 2, 1, 0, 0, 0, 16, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 0, 16, 0, 0, 3, 0, 0, 0, 5, 0, 0, 0, 4, 256, 0, 0, 3, 1, 0, 0]"
202,"[1, 0, 0, 0, 0, 16, 0, 1, 1, 0, 0, 0, 0, 8, 0, 1, 1, 0, 0, 0, 5, 0, 0, 0, 4, 32, 1, 0, 4, 1, 2, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
203,"[0, 32, 0, 1, 1, 0, 0, 0, 2, 1, 0, 0, 8, 3, 31, 0, 5, 0, 0, 0, 4, 256, 0, 0, 3, 3, 0, 0, 4, 1, 2, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
1,"[1, 4, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 1, 4, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 4, 358, 3, 0, 7, 0, 0, 0, 4, 296, 3, 0]"
2,"[0, 24, 0, 0, 6, 31, 0, 1, 3, 0, 0, 0, 8, 1, 1, 0, 6, 21, 0, 3, 8, 1, 2, 0, 8, 1, 2, 0, 0, 31, 0, 3, 0, 31, 0, 0, 7, 0, 0, 0, 6, 14, 1, 3, 0, 13, 1, 1]"
3,"[0, 11, 1, 3, 3, 0, 0, 0, 3, 0, 0, 0, 2, 0, 0, 0, 1, 4, 0, 0, 2, 1, 0, 0, 0, 14, 1, 0, 7, 0, 0, 0, 3, 0, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0]"
4,"[3, 0, 0, 0, 6, 11, 0, 0, 7, 0, 0, 0, 8, 2, 1, 0, 7, 0, 0, 0, 0, 6, 1, 3, 7, 0, 0, 0, 6, 16, 1, 0, 7, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 8, 1, 1, 0]"
5,"[4, 337, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 357, 3, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 493, 1, 0]"
6,"[2, 0, 0, 0, 8, 1, 2, 0, 2, 0, 0, 0, 0, 30, 0, 3, 7, 0, 0, 0, 8, 2, 1, 0, 6, 19, 1, 0, 4, 188, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
7,"[2, 1, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 4, 198, 1, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
8,"[4, 187, 3, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
9,"[6, 16, 0, 1, 1, 16, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 8, 1, 1, 0, 3, 0, 0, 0, 1, 4, 0, 0, 1, 4, 0, 0, 1, 4, 0, 0, 6, 6, 1, 0, 3, 0, 0, 0]"
10,"[8, 0, 1, 0, 3, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 6, 6, 0, 0, 8, 3, 2, 0, 4, 364, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 193, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
11,"[1, 4, 0, 0, 1, 4, 0, 0, 5, 0, 0, 0, 4, 174, 1, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
12,"[4, 418, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 4, 373, 3, 0, 7, 0, 0, 0]"
13,"[1, 4, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 1, 4, 0, 0, 1, 4, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 0, 15, 1, 3, 2, 0, 0, 0, 1, 4, 0, 0, 1, 4, 0, 0]"
14,"[2, 0, 0, 0, 8, 1, 1, 0, 0, 27, 0, 3, 6, 20, 1, 3, 4, 494, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 360, 1, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
15,"[3, 0, 0, 0, 7, 0, 0, 0, 0, 4, 0, 3, 8, 2, 1, 0, 0, 9, 1, 1, 0, 6, 0, 1, 2, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 6, 11, 0, 3, 7, 0, 0, 0]"
16,"[1, 4, 0, 0, 8, 1, 1, 0, 4, 338, 3, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
17,"[7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 4, 269, 3, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 91, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0]"
