Model,Encoded Chromosome
1,"[3, 0, 0, 0, 2, 0, 0, 0, 0, 17, 1, 0, 1, 17, 0, 0, 2, 1, 0, 0, 4, 65, 0, 0, 7, 0, 0, 0, 4, 213, 3, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 171, 1, 0, 7, 0, 0, 0]"
2,"[7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 8, 1, 2, 0, 2, 1, 0, 0, 7, 0, 0, 0, 6, 52, 4, 0, 7, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0]"
3,"[1, 4, 0, 0, 8, 1, 2, 0, 6, 48, 3, 1, 3, 0, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 8, 2, 2, 0, 7, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 1, 4, 0, 0]"
4,"[1, 4, 0, 0, 0, 10, 1, 1, 8, 1, 2, 0, 4, 395, 3, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 433, 1, 0]"
5,"[2, 0, 0, 0, 2, 1, 0, 0, 8, 2, 2, 0, 1, 4, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 0, 29, 1, 1, 7, 0, 0, 0, 8, 1, 1, 0, 0, 21, 0, 1, 0, 7, 0, 0, 5, 0, 0, 0]"
6,"[0, 29, 1, 3, 4, 50, 1, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
7,"[3, 0, 0, 0, 6, 36, 4, 1, 7, 0, 0, 0, 8, 1, 1, 0, 1, 4, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 3, 0, 0, 0]"
8,"[7, 0, 0, 0, 1, 4, 0, 0, 2, 0, 0, 0, 1, 4, 0, 0, 6, 27, 3, 1, 7, 0, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 0, 28, 0, 1, 7, 0, 0, 0]"
9,"[4, 409, 1, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 354, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
10,"[2, 1, 0, 0, 6, 44, 4, 1, 0, 8, 1, 3, 2, 0, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 8, 3, 1, 0, 3, 0, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
