Model,Encoded Chromosome
1,"[7, 0, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0, 8, 3, 1, 0, 6, 7, 0, 0, 8, 1, 2, 0, 2, 0, 0, 0, 2, 0, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 0, 13, 1, 0, 4, 35, 0, 0]"
2,"[3, 0, 0, 0, 3, 0, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 8, 1, 1, 0, 8, 3, 1, 0, 5, 0, 0, 0]"
3,"[2, 0, 0, 0, 4, 36, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 6, 10, 0, 0, 7, 0, 0, 0, 6, 8, 1, 0, 5, 0, 0, 0, 0, 15, 0, 0, 0, 9, 0, 0, 3, 0, 0, 0, 4, 114, 0, 0]"
4,"[8, 3, 2, 0, 3, 0, 0, 0, 4, 20, 0, 0, 7, 0, 0, 0, 6, 13, 1, 0, 1, 0, 0, 0, 4, 122, 0, 0, 6, 5, 0, 0, 3, 0, 0, 0, 2, 1, 0, 0, 8, 3, 2, 0, 3, 0, 0, 0]"
5,"[8, 2, 1, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 4, 63, 0, 0, 7, 0, 0, 0, 4, 45, 0, 0, 0, 5, 0, 0, 2, 1, 0, 0, 3, 0, 0, 0]"
6,"[0, 12, 0, 0, 8, 2, 2, 0, 6, 9, 0, 0, 4, 124, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 4, 7, 0, 0, 7, 0, 0, 0]"
7,"[4, 55, 0, 0, 2, 0, 0, 0, 6, 13, 0, 0, 7, 0, 0, 0, 8, 1, 2, 0, 0, 13, 1, 0, 2, 1, 0, 0, 2, 1, 0, 0, 8, 1, 2, 0, 5, 0, 0, 0, 4, 86, 0, 0, 1, 0, 0, 0]"
8,"[0, 13, 1, 0, 3, 0, 0, 0, 5, 0, 0, 0, 2, 1, 0, 0, 6, 6, 1, 0, 7, 0, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0, 8, 2, 1, 0, 2, 0, 0, 0, 0, 12, 1, 0, 6, 9, 1, 0]"
9,"[1, 0, 0, 0, 6, 15, 1, 0, 7, 0, 0, 0, 5, 0, 0, 0, 6, 9, 0, 0, 5, 0, 0, 0, 2, 1, 0, 0, 6, 4, 1, 0, 6, 13, 1, 0, 0, 4, 1, 0, 2, 0, 0, 0, 1, 0, 0, 0]"
10,"[6, 8, 1, 0, 4, 73, 0, 0, 8, 3, 1, 0, 2, 1, 0, 0, 8, 3, 2, 0, 3, 0, 0, 0, 8, 3, 1, 0, 5, 0, 0, 0, 3, 0, 0, 0, 6, 12, 1, 0, 7, 0, 0, 0, 4, 56, 0, 0]"
11,"[4, 112, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 4, 92, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 6, 7, 0, 0, 5, 0, 0, 0, 3, 0, 0, 0, 8, 3, 2, 0, 1, 0, 0, 0]"
12,"[8, 1, 2, 0, 3, 0, 0, 0, 3, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 6, 14, 0, 0, 5, 0, 0, 0, 6, 12, 0, 0, 0, 11, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0]"
13,"[7, 0, 0, 0, 8, 2, 1, 0, 7, 0, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 4, 77, 0, 0, 5, 0, 0, 0, 4, 75, 0, 0, 3, 0, 0, 0, 6, 5, 0, 0, 2, 0, 0, 0]"
14,"[6, 7, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 6, 11, 1, 0, 7, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0]"
15,"[5, 0, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 6, 12, 1, 0, 5, 0, 0, 0, 0, 12, 0, 0, 8, 3, 1, 0, 5, 0, 0, 0, 8, 1, 1, 0, 3, 0, 0, 0, 3, 0, 0, 0, 5, 0, 0, 0]"
16,"[5, 0, 0, 0, 6, 12, 1, 0, 8, 1, 2, 0, 3, 0, 0, 0, 7, 0, 0, 0, 6, 11, 1, 0, 3, 0, 0, 0, 6, 10, 0, 0, 5, 0, 0, 0, 0, 7, 1, 0, 6, 7, 0, 0, 7, 0, 0, 0]"
17,"[1, 0, 0, 0, 6, 8, 1, 0, 7, 0, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 8, 1, 1, 0, 8, 1, 1, 0, 8, 2, 2, 0]"
18,"[5, 0, 0, 0, 2, 1, 0, 0, 6, 13, 1, 0, 2, 0, 0, 0, 8, 3, 1, 0, 0, 8, 0, 0, 8, 2, 2, 0, 0, 13, 1, 0, 1, 0, 0, 0, 2, 0, 0, 0, 8, 3, 2, 0, 7, 0, 0, 0]"
19,"[8, 1, 1, 0, 2, 1, 0, 0, 5, 0, 0, 0, 2, 1, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0, 0, 8, 1, 0, 6, 7, 0, 0, 3, 0, 0, 0, 6, 11, 0, 0, 5, 0, 0, 0, 6, 9, 0, 0]"
20,"[8, 1, 2, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 2, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 6, 11, 0, 0, 2, 0, 0, 0, 4, 5, 0, 0, 8, 3, 2, 0, 0, 11, 1, 0]"
21,"[8, 1, 2, 0, 1, 0, 0, 0, 2, 0, 0, 0, 8, 3, 2, 0, 5, 0, 0, 0, 2, 0, 0, 0, 8, 1, 1, 0, 5, 0, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 2, 1, 0, 0, 7, 0, 0, 0]"
22,"[3, 0, 0, 0, 0, 6, 0, 0, 6, 11, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0, 6, 5, 1, 0, 8, 3, 1, 0, 6, 4, 1, 0, 6, 15, 0, 0]"
23,"[8, 3, 1, 0, 4, 4, 0, 0, 2, 0, 0, 0, 0, 4, 0, 0, 8, 1, 2, 0, 7, 0, 0, 0, 6, 15, 1, 0, 1, 0, 0, 0, 2, 0, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 6, 11, 0, 0]"
24,"[5, 0, 0, 0, 1, 0, 0, 0, 0, 5, 1, 0, 6, 9, 1, 0, 4, 67, 0, 0, 6, 5, 0, 0, 1, 0, 0, 0, 4, 64, 0, 0, 5, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0]"
25,"[1, 0, 0, 0, 8, 1, 1, 0, 7, 0, 0, 0, 6, 9, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 0, 10, 0, 0, 8, 1, 1, 0, 5, 0, 0, 0, 5, 0, 0, 0, 4, 89, 0, 0, 3, 0, 0, 0]"
26,"[4, 6, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 6, 5, 0, 0, 6, 10, 0, 0, 2, 1, 0, 0]"
27,"[6, 8, 1, 0, 0, 12, 0, 0, 4, 44, 0, 0, 5, 0, 0, 0, 6, 7, 0, 0, 5, 0, 0, 0, 3, 0, 0, 0, 2, 1, 0, 0, 8, 2, 1, 0, 2, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0]"
28,"[7, 0, 0, 0, 0, 6, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0, 4, 102, 0, 0, 8, 1, 2, 0, 4, 83, 0, 0]"
29,"[8, 2, 1, 0, 2, 0, 0, 0, 6, 5, 1, 0, 8, 3, 2, 0, 7, 0, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 4, 52, 0, 0, 0, 4, 0, 0, 0, 8, 0, 0, 3, 0, 0, 0]"
30,"[0, 5, 1, 0, 7, 0, 0, 0, 6, 7, 1, 0, 1, 0, 0, 0, 6, 9, 1, 0, 4, 24, 0, 0, 8, 2, 1, 0, 3, 0, 0, 0, 6, 13, 0, 0, 2, 0, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0]"
31,"[8, 2, 1, 0, 2, 0, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0, 6, 14, 1, 0, 8, 1, 2, 0, 8, 2, 1, 0, 0, 11, 1, 0, 2, 0, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 6, 14, 1, 0]"
